,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
Oilseed farming,14130,1000,3029779.88,284.3015731,58.31187449,652.2412403,994.854688,5299.485579,2642.621631,6776.302606,3578.336796,7311.551932,71.20962993,50.01935779,7.202511305,9.983192263,2.183840112,0.37862109,1.442107379,45.60909798,10.5422028,60.94842028,6.787787347,1.820369569,1.344902966,0.307830022,56.69668497,40.55312851,5.455602714,7.571496069,1.642784067,0.319133168,1.154540449,36.32230764,8.358063537,-0.006398878,0.000659715
Grain farming,27855,1000,4470324.337,386.3728078,-233.1470796,839.4723205,992.6980488,6633.0826,3330.657339,9348.897549,5588.898312,20250.3822,94.20973119,66.48003736,9.40850578,13.074163,2.810299385,0.51799305,1.918732618,60.2018308,13.96930267,80.36600621,8.569056015,2.629763537,1.997159888,0.647157713,77.00880222,55.58532075,7.140973789,10.11093311,2.140788056,0.450806173,1.579980343,49.26532116,11.33433812,-0.008895918,0.000991973
Vegetable and melon farming,17680,1000,1302859.786,387.308742,47.76878989,561.0424742,996.1200062,2927.658114,2269.257321,5222.016666,2142.804391,6112.058946,59.82120244,42.43387253,5.665873743,8.253399001,1.765178661,0.399084396,1.303794115,38.31986737,8.81984781,48.12513856,8.598575966,1.125027876,1.663956472,0.308203949,44.88342855,32.78609958,3.871770203,5.683572039,1.188427875,0.343615741,1.00994311,28.72359216,6.584856764,-0.005959845,0.000470271
Tree nut farming,2172,1000,1329007.108,433.9431486,51.9030222,510.9535971,996.7997679,2786.623916,2291.36425,5152.961495,2165.742268,4766.125359,58.56569302,40.87948968,6.001622046,8.348748258,1.847974648,0.3013695,1.186488888,37.57603004,8.649500731,46.67849929,8.804054973,1.177056186,1.605278255,0.300521974,43.43623447,31.03489803,4.235788635,5.757427361,1.274133456,0.244818054,0.889168931,27.83892481,6.397305769,-0.004897917,0.000463063
Fruit farming,10748,1000,1369439.333,461.2196423,52.85098801,481.9257309,995.9963612,3067.370169,2292.495584,5173.675373,2178.311208,5114.177915,58.77051858,40.99884345,6.045542518,8.374382608,1.858078149,0.302641274,1.191030586,37.69655989,8.685838498,46.94873142,8.658774707,1.200429228,1.652036983,0.310263157,43.52365633,31.09818708,4.244358492,5.768232724,1.276544687,0.245353936,0.89097941,27.89468572,6.410255356,-0.004881715,0.000483798
Greenhouse and nursery production,15616,1000,971360.9536,445.5689954,35.20650019,520.8151387,1001.590634,2784.973863,1410.974556,5470.518758,1492.972171,3304.705651,56.73304864,39.93379002,5.723258207,7.886400154,1.740761707,0.3009514,1.147887147,36.34907668,8.390945325,49.30526922,4.924877584,0.836186507,1.226647711,0.439884004,47.88750981,34.29703744,4.57828248,6.38518372,1.385968762,0.267603211,0.973434191,30.6813436,7.059607107,-0.005215344,0.000501418
Tobacco farming,1175,1000,3694576.118,514.2011123,80.4284819,399.5465156,994.1761099,8146.2971,3642.577448,6272.149462,3414.523116,9879.195174,72.44166844,50.36604405,7.53301646,10.40375865,2.301706483,0.372754139,1.464388666,46.40876508,10.73923433,57.0802663,11.00405627,1.798057929,2.137784383,0.421052179,49.73492605,35.57653949,4.782818818,6.641624135,1.44145128,0.279786845,1.012705481,31.86491046,7.330721751,-0.005777484,0.000698597
Cotton farming,3173,1000,4289026.129,483.5620875,-227.095266,736.4717049,992.9385264,6815.479093,4254.131856,5983.341133,2479.014624,13266.6723,73.53998961,50.67096671,7.779896279,10.8818616,2.358373287,0.368121683,1.480770051,46.98049121,11.01186979,55.38590202,13.00921306,1.451515762,3.073393134,0.619437738,49.1356545,35.16336396,4.712489749,6.558582936,1.425089197,0.275746113,1.000382537,31.49019232,7.23943218,-0.005217693,0.001021555
Sugarcane and sugar beet farming,2071,1000,2375029.775,354.6870045,83.29802877,557.9226677,995.9077009,8020.878087,2867.958729,7981.527615,5111.710655,8584.855067,84.6950378,57.03166746,9.149562392,13.95261379,2.506093557,0.429949293,1.625151308,53.41218186,13.04023841,69.91935966,9.959731541,2.625824182,1.79799964,0.390748911,67.70066665,46.15592128,7.037539525,11.02103034,1.829126319,0.367031121,1.29001806,42.49745703,10.49144811,-0.004138521,0.00232807
All other crop farming,20085,1000,2529783.013,419.7881714,80.30232573,493.5705295,993.6610266,6121.148722,3113.817335,5944.000177,2946.514642,9990.980431,70.87874144,49.44064436,7.191797038,10.16540308,2.215005944,0.398560903,1.467330108,45.38131145,10.51073866,54.70534772,11.87533411,1.568348546,2.228316696,0.500937549,46.99545168,33.89651406,4.32303271,6.168008792,1.310908171,0.302748408,0.994239541,30.06703934,6.931808275,-0.00588041,0.000703879
